Flight_ID,Revenue
FL100335,300216
FL100336,144776
FL100337,75991
FL100338,235917
FL100339,154092
FL100340,279577
FL100341,236384
FL100342,453777
FL100343,460117
FL100344,287113
FL100345,145556
FL100346,375019
FL100347,206989
FL100348,374264
FL100349,445204
FL100350,422185
FL100351,178467
FL100352,457472
FL100353,430634
FL100354,268800
FL100355,176155
FL100356,340374
FL100357,109778
FL100358,95833
FL100359,334769
FL100360,82088
FL100361,260722
FL100362,484383
FL100363,416081
FL100364,246375
FL100365,126361
FL100366,400373
FL100367,185189
FL100368,140265
FL100369,147718
FL100370,372854
FL100371,144876
FL100372,80949
FL100373,465763
FL100374,262954
FL100375,380280
FL100376,161541
FL100377,245691
FL100378,111842
FL100379,282930
FL100380,339134
FL100381,197265
FL100382,342253
FL100383,180356
FL100384,462449
FL100385,294629
FL100386,262802
FL100387,440277
FL100388,215582
FL100389,313450
FL100390,53849
FL100391,62360
FL100392,423216
FL100393,303279
FL100394,144767
FL100395,311445
FL100396,226872
FL100397,480179
FL100398,104330
FL100399,101707
FL100400,330833
FL100401,79084
FL100402,90387
FL100403,386960
FL100404,52642
FL100405,354281
FL100406,236633
FL100407,374404
FL100408,196510
FL100409,360586
FL100410,415205
FL100411,446210
FL100412,304511
FL100413,437988
FL100414,411719
FL100415,313957
FL100416,405171
FL100417,435633
FL100418,134381
FL100419,299880
FL100420,367420
FL100421,353387
FL100422,243984
FL100423,110272
FL100424,223123
FL100425,263808
FL100426,303091
FL100427,377762
FL100428,314064
FL100429,156121
FL100430,126872
FL100431,393276
FL100432,314237
FL100433,325049
FL100434,171759
FL100435,467567
FL100436,343125
FL100437,386047
FL100438,382965
FL100439,421344
FL100440,132289
FL100441,166506
FL100442,128513
FL100443,463090
FL100444,232003
FL100445,450890
FL100446,362660
FL100447,309480
FL100448,312043
FL100449,241758
FL100450,381356
FL100451,183498
FL100452,304024
FL100453,180970
FL100454,140009
FL100455,249570
FL100456,473159
FL100457,247467
FL100458,94816
FL100459,54138
FL100460,141176
FL100461,388089
FL100462,316161
FL100463,322595
FL100464,244028
FL100465,406007
FL100466,322422
FL100467,271552
FL100468,93764
FL100469,173030
FL100470,444350
FL100471,375087
FL100472,145667
FL100473,366462
FL100474,415567
FL100475,416142
FL100476,110128
FL100477,269128
FL100478,334013
FL100479,283540
FL100480,55039
FL100481,202353
FL100482,162935
FL100483,60442
FL100484,385932
FL100485,431873
FL100486,339730
FL100487,103053
FL100488,231561
FL100489,264176
FL100490,136346
FL100491,379231
FL100492,455841
FL100493,84397
FL100494,370815
FL100495,166214
FL100496,379041
FL100497,207221
FL100498,448499
FL100499,450826
FL100500,486542
FL100501,327068
FL100502,163143
FL100503,422397
FL100504,412441
FL100505,313013
FL100506,409232
FL100507,313158
FL100508,60103
FL100509,422461
FL100510,476674
FL100511,132409
FL100512,73248
FL100513,224588
FL100514,472277
FL100515,205242
FL100516,58024
FL100517,284864
FL100518,398091
FL100519,224875
FL100520,462512
FL100521,403973
FL100522,404852
FL100523,398808
FL100524,461473
FL100525,193927
FL100526,135178
FL100527,413265
FL100528,332169
FL100529,447674
FL100530,113610
FL100531,120843
FL100532,157237
FL100533,230903
FL100534,224499
FL100535,180299
FL100536,481722
FL100537,55668
FL100538,272542
FL100539,228267
FL100540,385377
FL100541,205489
FL100542,394126
FL100543,156133
FL100544,322895
FL100545,358362
FL100546,438793
FL100547,319496
FL100548,260124
FL100549,138835
FL100550,147493
FL100551,341071
FL100552,222166
FL100553,151948
FL100554,235194
FL100555,79493
FL100556,343851
FL100557,249886
FL100558,188368
FL100559,206470
FL100560,347986
FL100561,63261
FL100562,126709
FL100563,145985
FL100564,418760
FL100565,499920
FL100566,379317
FL100567,343925
FL100568,325796
FL100569,317247
FL100570,337644
FL100571,296404
FL100572,150336
FL100573,478745
FL100574,163499
FL100575,199524
FL100576,361537
FL100577,474390
FL100578,216508
FL100579,359550
FL100580,375203
FL100581,197026
FL100582,394866
FL100583,300819
FL100584,62356
FL100585,178128
FL100586,52187
FL100587,389387
FL100588,347242
FL100589,202297
FL100590,184678
FL100591,369764
FL100592,476044
FL100593,176270
FL100594,469705
FL100595,326531
FL100596,381607
FL100597,292998
FL100598,445807
FL100599,291503
FL100600,491732
FL100601,403827
FL100602,112061
FL100603,285497
FL100604,131257
FL100605,111753
FL100606,396918
FL100607,454303
FL100608,474032
FL100609,73408
FL100610,174116
FL100611,181208
FL100612,67413
FL100613,163650
FL100614,109500
FL100615,396658
FL100616,106358
FL100617,116197
FL100618,273861
FL100619,273492
FL100620,311545
FL100621,476070
FL100622,126240
FL100623,285595
FL100624,271135
FL100625,328466
FL100626,425197
FL100627,56968
FL100628,339662
FL100629,364069
FL100630,240920
FL100631,424044
FL100632,405566
FL100633,313844
FL100634,405926
FL100635,282076
FL100636,73199
FL100637,487805
FL100638,213187
FL100639,235388
FL100640,55520
FL100641,159814
FL100642,217527
FL100643,296356
FL100644,173364
FL100645,484821
FL100646,64955
FL100647,225121
FL100648,194989
FL100649,300144
FL100650,114925
FL100651,419360
FL100652,120269
FL100653,474170
FL100654,353602
FL100655,401181
FL100656,202185
FL100657,149977
FL100658,356083
FL100659,79345
FL100660,305688
FL100661,489529
FL100662,422251
FL100663,434010
FL100664,311798
FL100665,381310
FL100666,228933
FL100667,147406
FL100668,361442
FL100669,490437
FL100670,357086
FL100671,53453
FL100672,152811
FL100673,104935
FL100674,434583
FL100675,224442
FL100676,320472
FL100677,65534
FL100678,397424
FL100679,86320
FL100680,99170
FL100681,150546
FL100682,130201
FL100683,284473
FL100684,320784
FL100685,281324
FL100686,211121
FL100687,448834
FL100688,283612
FL100689,237125
FL100690,445136
FL100691,356081
FL100692,250796
FL100693,193279
FL100694,246846
FL100695,214044
FL100696,454015
FL100697,252160
FL100698,472132
FL100699,120463
FL100700,143500
FL100701,257772
FL100702,87158
FL100703,134607
FL100704,431783
FL100705,295017
FL100706,383840
FL100707,373654
FL100708,170076
FL100709,108692
FL100710,180841
FL100711,242816
FL100712,327954
FL100713,448342
FL100714,211081
FL100715,161718
FL100716,403076
FL100717,50192
FL100718,297536
FL100719,86413
FL100720,193888
FL100721,89082
FL100722,377192
FL100723,173130
FL100724,100940
FL100725,213202
FL100726,90142
FL100727,86468
FL100728,473914
FL100729,191727
FL100730,228969
FL100731,473291
FL100732,452575
FL100733,441192
FL100734,286187
FL100735,92056
FL100736,101831
FL100737,371335
FL100738,299664
FL100739,434092
FL100740,476488
FL100741,158117
FL100742,326815
FL100743,339192
FL100744,338107
FL100745,93954
FL100746,283192
FL100747,407574
FL100748,50717
FL100749,323820
FL100750,447650
FL100751,230882
FL100752,168696
FL100753,442974
FL100754,54994
FL100755,316378
FL100756,119300
FL100757,356093
FL100758,87405
FL100759,347016
FL100760,354359
FL100761,73185
FL100762,224514
FL100763,494975
FL100764,353297
FL100765,389679
FL100766,183653
FL100767,101717
FL100768,52763
FL100769,405054
FL100770,105480
FL100771,219831
FL100772,257139
FL100773,168094
FL100774,206379
FL100775,277443
FL100776,61064
FL100777,126848
FL100778,87548
FL100779,218017
FL100780,491153
FL100781,318620
FL100782,494972
FL100783,402245
FL100784,52382
FL100785,492899
FL100786,226348
FL100787,476618
FL100788,470162
FL100789,129698
FL100790,295762
FL100791,293381
FL100792,465551
FL100793,95095
FL100794,442118
FL100795,339341
FL100796,439763
FL100797,72010
FL100798,467339
FL100799,400067
FL100800,183962
FL100801,442670
FL100802,159162
FL100803,433071
FL100804,320170
FL100805,377069
FL100806,118842
FL100807,345809
FL100808,321421
FL100809,223311
FL100810,490880
FL100811,360152
FL100812,326827
FL100813,181742
FL100814,270283
FL100815,198961
FL100816,498828
FL100817,225607
FL100818,390686
FL100819,366463
FL100820,295144
FL100821,404211
FL100822,202711
FL100823,245784
FL100824,459849
FL100825,302217
FL100826,477876
FL100827,381119
FL100828,213244
FL100829,151158
FL100830,323721
FL100831,389443
FL100832,332320
FL100833,487602
FL100834,113972
FL100835,432162
FL100836,484219
FL100837,332140
FL100838,150922
FL100839,398742
FL100840,85931
FL100841,174168
FL100842,216782
FL100843,173099
FL100844,84693
FL100845,478956
FL100846,158944
FL100847,274655
FL100848,257574
FL100849,329518
FL100850,297572
FL100851,393615
FL100852,95913
FL100853,435827
FL100854,247097
FL100855,356660
FL100856,137796
FL100857,338213
FL100858,430477
FL100859,499449
FL100860,134811
FL100861,240121
FL100862,282892
FL100863,430172
FL100864,89178
FL100865,344965
FL100866,494943
FL100867,66999
FL100868,350856
FL100869,245623
FL100870,221244
FL100871,345866
FL100872,322769
FL100873,248237
FL100874,56859
FL100875,484825
FL100876,486523
FL100877,160986
FL100878,282654
FL100879,333983
FL100880,339360
FL100881,365097
FL100882,99522
FL100883,280233
FL100884,448102
FL100885,423393
FL100886,57485
FL100887,474671
FL100888,293056
FL100889,459983
FL100890,162701
FL100891,471669
FL100892,257352
FL100893,152638
FL100894,234514
FL100895,495093
FL100896,324370
FL100897,143405
FL100898,334732
FL100899,260048
FL100900,212781
FL100901,491004
FL100902,87019
FL100903,488164
FL100904,311497
FL100905,115133
FL100906,426588
FL100907,247530
FL100908,429747
FL100909,208598
FL100910,178585
FL100911,495414
FL100912,295172
FL100913,355539
FL100914,467247
FL100915,175814
FL100916,480917
FL100917,424743
FL100918,75939
FL100919,492361
FL100920,463540
FL100921,203939
FL100922,312347
FL100923,459760
FL100924,459115
FL100925,341207
FL100926,140880
FL100927,53748
FL100928,286094
FL100929,429413
FL100930,392908
FL100931,201956
FL100932,206255
FL100933,420180
FL100934,200331
FL100935,217031
FL100936,428669
FL100937,476673
FL100938,397823
FL100939,175829
FL100940,178216
FL100941,445319
FL100942,115901
FL100943,293386
FL100944,225607
FL100945,459319
FL100946,148046
FL100947,402156
FL100948,128278
FL100949,324535
FL100950,152476
FL100951,472117
FL100952,432865
FL100953,147537
FL100954,393303
FL100955,443184
FL100956,231429
FL100957,267980
FL100958,481653
FL100959,347647
FL100960,125403
FL100961,484474
FL100962,476940
FL100963,114286
FL100964,386986
FL100965,154927
FL100966,327052
FL100967,493842
FL100968,349372
FL100969,73386
FL100970,227826
FL100971,340446
FL100972,372959
FL100973,302156
FL100974,375488
FL100975,478834
FL100976,423747
FL100977,373258
FL100978,298724
FL100979,251202
FL100980,75525
FL100981,129818
FL100982,164589
FL100983,195406
FL100984,144715
FL100985,243839
FL100986,318788
FL100987,413298
FL100988,476149
FL100989,307438
FL100990,355613
FL100991,476903
FL100992,418753
FL100993,495872
FL100994,460591
FL100995,377350
FL100996,408606
FL100997,217679
FL100998,133178
FL100999,467209
