Flight_ID,Delay_Minutes,Delay_Type
FL100290,151,Weather
FL100291,48,Air Traffic
FL100292,153,Air Traffic
FL100293,90,Weather
FL100294,36,Weather
FL100295,67,Security
FL100296,49,Crew
FL100297,151,Crew
FL100298,18,Weather
FL100299,99,Technical
FL100300,59,Air Traffic
FL100301,166,Air Traffic
FL100302,88,Weather
FL100303,145,Technical
FL100304,146,Security
FL100305,163,Weather
FL100306,68,Weather
FL100307,174,Air Traffic
FL100308,48,Weather
FL100309,107,Weather
FL100310,160,Weather
FL100311,118,Air Traffic
FL100312,148,Security
FL100313,149,Security
FL100314,175,Weather
FL100315,36,Air Traffic
FL100316,142,Security
FL100317,162,Security
FL100318,159,Security
FL100319,10,Air Traffic
FL100320,137,Air Traffic
FL100321,77,Weather
FL100322,76,Crew
FL100323,152,Security
FL100324,1,Crew
FL100325,63,Air Traffic
FL100326,34,Air Traffic
FL100327,6,Air Traffic
FL100328,84,Crew
FL100329,145,Air Traffic
FL100330,66,Weather
FL100331,41,Air Traffic
FL100332,117,Technical
FL100333,124,Crew
FL100334,166,Technical
FL100335,168,Air Traffic
FL100336,23,Weather
FL100337,45,Security
FL100338,18,Air Traffic
FL100339,67,Weather
FL100340,101,Crew
FL100341,41,Technical
FL100342,31,Technical
FL100343,166,Technical
FL100344,108,Crew
FL100345,35,Weather
FL100346,96,Crew
FL100347,163,Technical
FL100348,130,Air Traffic
FL100349,72,Security
FL100350,135,Crew
FL100351,96,Crew
FL100352,122,Weather
FL100353,69,Weather
FL100354,168,Crew
FL100355,12,Technical
FL100356,48,Security
FL100357,59,Weather
FL100358,129,Technical
FL100359,4,Air Traffic
FL100360,171,Weather
FL100361,26,Technical
FL100362,159,Technical
FL100363,148,Security
FL100364,7,Security
FL100365,49,Air Traffic
FL100366,66,Technical
FL100367,43,Technical
FL100368,124,Security
FL100369,57,Weather
FL100370,2,Weather
FL100371,85,Crew
FL100372,69,Security
FL100373,129,Crew
FL100374,171,Security
FL100375,1,Air Traffic
FL100376,101,Technical
FL100377,34,Air Traffic
FL100378,97,Security
FL100379,29,Technical
FL100380,115,Weather
FL100381,7,Weather
FL100382,149,Crew
FL100383,43,Security
FL100384,35,Security
FL100385,76,Weather
FL100386,30,Air Traffic
FL100387,46,Technical
FL100388,54,Air Traffic
FL100389,105,Air Traffic
FL100390,157,Weather
FL100391,120,Weather
FL100392,54,Weather
FL100393,143,Crew
FL100394,11,Air Traffic
FL100395,144,Security
FL100396,143,Technical
FL100397,139,Crew
FL100398,135,Security
FL100399,2,Air Traffic
FL100400,143,Weather
FL100401,29,Air Traffic
FL100402,22,Technical
FL100403,91,Crew
FL100404,114,Crew
FL100405,103,Technical
FL100406,117,Security
FL100407,4,Security
FL100408,103,Crew
FL100409,107,Crew
FL100410,64,Weather
FL100411,120,Security
FL100412,29,Technical
FL100413,148,Security
FL100414,83,Weather
FL100415,149,Crew
FL100416,31,Crew
FL100417,160,Weather
FL100418,15,Technical
FL100419,37,Crew
FL100420,141,Air Traffic
FL100421,35,Crew
FL100422,150,Air Traffic
FL100423,113,Weather
FL100424,65,Weather
FL100425,104,Crew
FL100426,84,Security
FL100427,1,Air Traffic
FL100428,74,Technical
FL100429,66,Crew
FL100430,179,Technical
FL100431,150,Crew
FL100432,153,Security
FL100433,54,Security
FL100434,5,Security
FL100435,162,Security
FL100436,149,Weather
FL100437,170,Weather
FL100438,142,Air Traffic
FL100439,85,Technical
FL100440,59,Crew
FL100441,100,Crew
FL100442,11,Weather
FL100443,48,Crew
FL100444,41,Weather
FL100445,165,Air Traffic
FL100446,81,Technical
FL100447,172,Air Traffic
FL100448,34,Security
FL100449,157,Security
FL100450,157,Security
FL100451,133,Air Traffic
FL100452,66,Crew
FL100453,79,Technical
FL100454,6,Security
FL100455,179,Security
FL100456,13,Security
FL100457,72,Technical
FL100458,142,Security
FL100459,148,Technical
FL100460,162,Security
FL100461,65,Air Traffic
FL100462,90,Air Traffic
FL100463,129,Technical
FL100464,162,Air Traffic
FL100465,19,Technical
FL100466,9,Air Traffic
FL100467,24,Air Traffic
FL100468,24,Technical
FL100469,53,Crew
FL100470,32,Air Traffic
FL100471,163,Security
FL100472,94,Crew
FL100473,13,Technical
FL100474,64,Crew
FL100475,109,Weather
FL100476,79,Weather
FL100477,53,Air Traffic
FL100478,124,Air Traffic
FL100479,179,Security
FL100480,130,Crew
FL100481,168,Weather
FL100482,133,Air Traffic
FL100483,24,Crew
FL100484,140,Air Traffic
FL100485,116,Air Traffic
FL100486,135,Weather
FL100487,148,Weather
FL100488,24,Air Traffic
FL100489,78,Technical
FL100490,67,Air Traffic
FL100491,172,Air Traffic
FL100492,11,Security
FL100493,31,Security
FL100494,127,Security
FL100495,95,Technical
FL100496,91,Technical
FL100497,140,Air Traffic
FL100498,30,Security
FL100499,77,Technical
FL100500,19,Weather
FL100501,145,Air Traffic
FL100502,59,Crew
FL100503,133,Air Traffic
FL100504,159,Crew
FL100505,92,Security
FL100506,42,Crew
FL100507,129,Security
FL100508,59,Weather
FL100509,150,Crew
FL100510,30,Air Traffic
FL100511,4,Security
FL100512,161,Air Traffic
FL100513,9,Technical
FL100514,88,Security
FL100515,129,Crew
FL100516,125,Security
FL100517,10,Air Traffic
FL100518,177,Weather
FL100519,158,Security
FL100520,55,Crew
FL100521,82,Technical
FL100522,136,Weather
FL100523,98,Technical
FL100524,148,Security
FL100525,72,Air Traffic
FL100526,155,Air Traffic
FL100527,114,Crew
FL100528,6,Air Traffic
FL100529,79,Weather
FL100530,143,Air Traffic
FL100531,96,Crew
FL100532,3,Security
FL100533,3,Security
FL100534,102,Air Traffic
FL100535,39,Technical
FL100536,16,Security
FL100537,100,Air Traffic
FL100538,102,Crew
FL100539,123,Air Traffic
FL100540,51,Security
FL100541,51,Crew
FL100542,163,Air Traffic
FL100543,123,Weather
FL100544,165,Crew
FL100545,177,Weather
FL100546,62,Technical
FL100547,115,Crew
FL100548,61,Weather
FL100549,6,Security
FL100550,154,Security
FL100551,91,Technical
FL100552,13,Crew
FL100553,85,Crew
FL100554,132,Crew
FL100555,129,Technical
FL100556,61,Crew
FL100557,148,Security
FL100558,78,Weather
FL100559,148,Security
FL100560,137,Security
FL100561,57,Weather
FL100562,119,Security
FL100563,166,Technical
FL100564,132,Weather
FL100565,64,Security
FL100566,12,Air Traffic
FL100567,180,Security
FL100568,81,Technical
FL100569,172,Crew
FL100570,159,Security
FL100571,163,Crew
FL100572,138,Air Traffic
FL100573,148,Security
FL100574,51,Weather
FL100575,116,Crew
FL100576,25,Air Traffic
FL100577,33,Weather
FL100578,51,Weather
FL100579,111,Weather
FL100580,81,Weather
FL100581,179,Security
FL100582,156,Security
FL100583,165,Security
FL100584,41,Air Traffic
FL100585,20,Air Traffic
FL100586,41,Air Traffic
FL100587,140,Technical
FL100588,112,Air Traffic
FL100589,104,Security
FL100590,16,Security
FL100591,119,Technical
FL100592,136,Technical
FL100593,168,Air Traffic
FL100594,128,Crew
FL100595,129,Technical
FL100596,59,Weather
FL100597,47,Security
FL100598,28,Weather
FL100599,96,Security
FL100600,9,Security
FL100601,57,Technical
FL100602,20,Technical
FL100603,27,Weather
FL100604,33,Security
FL100605,7,Weather
FL100606,176,Crew
FL100607,78,Weather
FL100608,144,Air Traffic
FL100609,86,Weather
FL100610,87,Air Traffic
FL100611,172,Air Traffic
FL100612,68,Air Traffic
FL100613,159,Crew
FL100614,171,Weather
FL100615,86,Weather
FL100616,100,Crew
FL100617,7,Security
FL100618,76,Technical
FL100619,86,Weather
FL100620,42,Technical
FL100621,128,Crew
FL100622,108,Security
FL100623,178,Security
FL100624,151,Security
FL100625,151,Crew
FL100626,16,Air Traffic
FL100627,132,Air Traffic
FL100628,147,Technical
FL100629,20,Air Traffic
FL100630,57,Air Traffic
FL100631,158,Security
FL100632,109,Security
FL100633,138,Technical
FL100634,179,Weather
FL100635,142,Technical
FL100636,134,Technical
FL100637,27,Crew
FL100638,50,Crew
FL100639,4,Technical
FL100640,4,Technical
FL100641,93,Technical
FL100642,95,Air Traffic
FL100643,7,Crew
FL100644,63,Technical
FL100645,137,Security
FL100646,37,Security
FL100647,110,Air Traffic
FL100648,111,Air Traffic
FL100649,80,Weather
FL100650,135,Weather
FL100651,103,Weather
FL100652,152,Air Traffic
FL100653,72,Air Traffic
FL100654,177,Air Traffic
FL100655,48,Security
FL100656,35,Air Traffic
FL100657,125,Security
FL100658,67,Weather
FL100659,77,Weather
FL100660,104,Weather
FL100661,168,Technical
FL100662,121,Technical
FL100663,118,Crew
FL100664,113,Crew
FL100665,9,Crew
FL100666,148,Technical
FL100667,163,Technical
FL100668,139,Crew
FL100669,90,Crew
FL100670,1,Air Traffic
FL100671,117,Crew
FL100672,12,Air Traffic
FL100673,180,Security
FL100674,159,Technical
FL100675,94,Crew
FL100676,143,Technical
FL100677,31,Technical
FL100678,31,Technical
FL100679,123,Security
FL100680,10,Weather
FL100681,9,Crew
FL100682,14,Weather
FL100683,16,Weather
FL100684,167,Weather
FL100685,145,Technical
FL100686,152,Air Traffic
FL100687,58,Technical
FL100688,77,Technical
FL100689,123,Weather
FL100690,113,Technical
FL100691,21,Weather
FL100692,157,Air Traffic
FL100693,171,Crew
FL100694,31,Weather
FL100695,178,Air Traffic
FL100696,173,Crew
FL100697,112,Security
FL100698,119,Weather
FL100699,148,Weather
FL100700,121,Security
FL100701,31,Security
FL100702,118,Weather
FL100703,38,Security
FL100704,11,Technical
FL100705,174,Crew
FL100706,17,Crew
FL100707,148,Crew
FL100708,140,Technical
FL100709,148,Security
FL100710,125,Air Traffic
FL100711,135,Security
FL100712,45,Weather
FL100713,103,Crew
FL100714,134,Security
FL100715,150,Air Traffic
FL100716,85,Weather
FL100717,149,Technical
FL100718,88,Technical
FL100719,21,Air Traffic
FL100720,91,Weather
FL100721,28,Crew
FL100722,12,Security
FL100723,1,Weather
FL100724,28,Technical
FL100725,179,Air Traffic
FL100726,26,Air Traffic
FL100727,49,Security
FL100728,94,Air Traffic
FL100729,150,Air Traffic
FL100730,87,Weather
FL100731,43,Crew
FL100732,21,Security
FL100733,170,Weather
FL100734,164,Crew
FL100735,96,Weather
FL100736,2,Weather
FL100737,117,Air Traffic
FL100738,18,Crew
FL100739,22,Security
FL100740,156,Security
FL100741,29,Crew
FL100742,38,Air Traffic
FL100743,107,Technical
FL100744,110,Weather
FL100745,24,Air Traffic
FL100746,127,Crew
FL100747,110,Weather
FL100748,135,Security
FL100749,105,Technical
FL100750,143,Security
FL100751,71,Crew
FL100752,128,Weather
FL100753,107,Crew
FL100754,4,Weather
FL100755,2,Air Traffic
FL100756,131,Technical
FL100757,103,Air Traffic
FL100758,63,Air Traffic
FL100759,105,Crew
FL100760,97,Technical
FL100761,9,Weather
FL100762,148,Weather
FL100763,127,Security
FL100764,45,Weather
FL100765,154,Crew
FL100766,65,Air Traffic
FL100767,168,Air Traffic
FL100768,111,Air Traffic
FL100769,12,Technical
FL100770,136,Weather
FL100771,163,Crew
FL100772,85,Technical
FL100773,89,Security
FL100774,57,Crew
FL100775,53,Crew
FL100776,11,Crew
FL100777,13,Air Traffic
FL100778,120,Crew
FL100779,161,Weather
FL100780,180,Crew
FL100781,120,Air Traffic
FL100782,19,Crew
FL100783,74,Security
FL100784,143,Security
FL100785,69,Air Traffic
FL100786,55,Weather
FL100787,100,Weather
FL100788,131,Technical
FL100789,110,Air Traffic
FL100790,124,Crew
FL100791,131,Air Traffic
FL100792,19,Technical
FL100793,137,Air Traffic
FL100794,23,Air Traffic
FL100795,153,Technical
FL100796,36,Weather
FL100797,53,Crew
FL100798,102,Technical
FL100799,148,Security
FL100800,37,Weather
FL100801,173,Security
FL100802,3,Weather
FL100803,56,Crew
FL100804,172,Crew
FL100805,19,Air Traffic
FL100806,16,Security
FL100807,118,Weather
FL100808,70,Crew
FL100809,3,Technical
FL100810,13,Crew
FL100811,2,Technical
FL100812,79,Weather
FL100813,54,Crew
FL100814,131,Crew
FL100815,119,Weather
FL100816,23,Crew
FL100817,161,Technical
FL100818,157,Crew
FL100819,81,Security
FL100820,146,Air Traffic
FL100821,158,Technical
FL100822,59,Security
FL100823,146,Weather
FL100824,48,Technical
FL100825,62,Air Traffic
FL100826,109,Air Traffic
FL100827,149,Weather
FL100828,151,Weather
FL100829,108,Technical
FL100830,75,Crew
FL100831,29,Weather
FL100832,57,Crew
FL100833,116,Security
FL100834,158,Air Traffic
FL100835,99,Crew
FL100836,18,Air Traffic
FL100837,175,Crew
FL100838,172,Security
FL100839,93,Weather
FL100840,112,Security
FL100841,145,Weather
FL100842,62,Weather
FL100843,115,Air Traffic
FL100844,112,Security
FL100845,46,Crew
FL100846,56,Security
FL100847,117,Air Traffic
FL100848,44,Weather
FL100849,160,Air Traffic
FL100850,144,Technical
FL100851,3,Technical
FL100852,147,Crew
FL100853,46,Air Traffic
FL100854,142,Crew
FL100855,46,Crew
FL100856,77,Technical
FL100857,123,Crew
FL100858,74,Technical
FL100859,102,Weather
FL100860,136,Air Traffic
FL100861,89,Crew
FL100862,143,Technical
FL100863,68,Security
FL100864,60,Crew
FL100865,137,Weather
FL100866,49,Weather
FL100867,2,Security
FL100868,106,Technical
FL100869,112,Crew
FL100870,93,Technical
FL100871,117,Weather
FL100872,80,Technical
FL100873,108,Weather
FL100874,50,Technical
FL100875,146,Security
FL100876,169,Air Traffic
FL100877,34,Security
FL100878,45,Security
FL100879,153,Air Traffic
FL100880,68,Air Traffic
FL100881,92,Crew
FL100882,63,Crew
FL100883,164,Security
FL100884,48,Security
FL100885,148,Weather
FL100886,73,Weather
FL100887,4,Crew
FL100888,99,Crew
FL100889,69,Weather
FL100890,89,Weather
FL100891,3,Technical
FL100892,125,Technical
FL100893,38,Weather
FL100894,162,Technical
FL100895,128,Air Traffic
FL100896,23,Crew
FL100897,56,Crew
FL100898,99,Weather
FL100899,69,Security
FL100900,40,Weather
FL100901,173,Technical
FL100902,59,Security
FL100903,107,Technical
FL100904,56,Air Traffic
FL100905,30,Technical
FL100906,83,Air Traffic
FL100907,151,Air Traffic
FL100908,35,Technical
FL100909,157,Technical
FL100910,151,Air Traffic
FL100911,107,Security
FL100912,105,Air Traffic
FL100913,157,Crew
FL100914,85,Air Traffic
FL100915,134,Security
FL100916,162,Crew
FL100917,13,Weather
FL100918,119,Weather
FL100919,137,Security
FL100920,79,Air Traffic
FL100921,143,Technical
FL100922,105,Security
FL100923,69,Crew
FL100924,43,Crew
FL100925,72,Weather
FL100926,44,Crew
FL100927,106,Security
FL100928,83,Crew
FL100929,81,Security
FL100930,106,Technical
FL100931,20,Weather
FL100932,177,Crew
FL100933,160,Security
FL100934,6,Air Traffic
FL100935,69,Weather
FL100936,126,Technical
FL100937,142,Security
FL100938,159,Technical
FL100939,147,Technical
FL100940,142,Crew
FL100941,175,Crew
FL100942,148,Security
FL100943,169,Air Traffic
FL100944,153,Security
FL100945,119,Air Traffic
FL100946,127,Technical
FL100947,141,Weather
FL100948,56,Security
FL100949,164,Security
FL100950,57,Air Traffic
FL100951,20,Technical
FL100952,81,Technical
FL100953,68,Air Traffic
FL100954,130,Technical
FL100955,86,Crew
FL100956,164,Weather
FL100957,48,Security
FL100958,146,Weather
FL100959,114,Security
FL100960,88,Crew
FL100961,84,Technical
FL100962,127,Air Traffic
FL100963,139,Crew
FL100964,168,Weather
FL100965,160,Air Traffic
FL100966,177,Technical
FL100967,116,Crew
FL100968,126,Air Traffic
FL100969,70,Crew
FL100970,85,Crew
FL100971,32,Technical
FL100972,80,Security
FL100973,151,Air Traffic
FL100974,60,Technical
FL100975,60,Crew
FL100976,97,Technical
FL100977,27,Security
FL100978,42,Air Traffic
FL100979,168,Security
FL100980,166,Weather
FL100981,85,Air Traffic
FL100982,176,Security
FL100983,16,Crew
FL100984,97,Air Traffic
FL100985,97,Air Traffic
FL100986,64,Technical
FL100987,73,Crew
FL100988,84,Weather
FL100989,4,Security
FL100990,1,Technical
FL100991,21,Security
FL100992,111,Weather
FL100993,56,Weather
FL100994,65,Air Traffic
FL100995,73,Weather
FL100996,97,Security
FL100997,143,Crew
FL100998,111,Crew
FL100999,178,Air Traffic
