Flight_ID,Airline,Route,Date,Delay_Minutes,Delay_Type,Revenue,Month,Revenue_Loss
FL100078,SpiceJet,CCU-BOM,2024-03-19,25,Technical,412916,March,2500
FL100079,SpiceJet,BOM-BLR,2024-03-20,28,Crew,228048,March,2800
FL100080,Akasa Air,HYD-BOM,2024-03-21,0,Crew,403646,March,0
FL100081,IndiGo,BOM-BLR,2024-03-22,118,Technical,426087,March,11800
FL100082,Akasa Air,MAA-DEL,2024-03-23,34,Security,421994,March,3400
FL100083,Akasa Air,DEL-BOM,2024-03-24,58,Security,95095,March,5800
FL100084,IndiGo,BLR-PNQ,2024-03-25,68,Air Traffic,195342,March,6800
FL100085,IndiGo,DEL-BOM,2024-03-26,160,Weather,211980,March,16000
FL100086,IndiGo,HYD-BOM,2024-03-27,178,Security,327667,March,17800
FL100087,IndiGo,DEL-BOM,2024-03-28,11,Weather,112433,March,1100
FL100088,SpiceJet,DEL-BOM,2024-03-29,19,Crew,490284,March,1900
FL100089,Vistara,HYD-BOM,2024-03-30,180,Weather,69991,March,18000
FL100090,Vistara,CCU-BOM,2024-03-31,42,Crew,322919,March,4200
FL100091,IndiGo,CCU-BOM,2024-04-01,125,Technical,397139,April,12500
FL100092,Vistara,HYD-BOM,2024-04-02,49,Technical,197745,April,4900
FL100093,Vistara,BLR-PNQ,2024-04-03,28,Air Traffic,172808,April,2800
FL100094,IndiGo,MAA-DEL,2024-04-04,38,Security,208128,April,3800
FL100095,Vistara,DEL-BOM,2024-04-05,170,Air Traffic,187686,April,17000
FL100096,Akasa Air,BLR-PNQ,2024-04-06,177,Crew,57415,April,17700
FL100097,Air India,DEL-BOM,2024-04-07,150,Air Traffic,296038,April,15000
FL100098,Air India,MAA-DEL,2024-04-08,171,Weather,487100,April,17100
FL100099,IndiGo,CCU-BOM,2024-04-09,37,Crew,460180,April,3700
FL100100,SpiceJet,BLR-PNQ,2024-04-10,83,Technical,480942,April,8300
FL100101,IndiGo,DEL-BLR,2024-04-11,150,Security,304205,April,15000
FL100102,SpiceJet,DEL-BLR,2024-04-12,127,Crew,349188,April,12700
FL100103,Air India,DEL-BLR,2024-04-13,125,Crew,238221,April,12500
FL100104,IndiGo,CCU-BOM,2024-04-14,44,Weather,218616,April,4400
FL100105,Akasa Air,CCU-BOM,2024-04-15,51,Security,99976,April,5100
FL100106,Vistara,MAA-DEL,2024-04-16,79,Technical,475468,April,7900
FL100107,SpiceJet,DEL-BOM,2024-04-17,177,Crew,315976,April,17700
FL100108,Vistara,MAA-DEL,2024-04-18,123,Crew,271883,April,12300
FL100109,Vistara,MAA-DEL,2024-04-19,118,Weather,261509,April,11800
FL100110,IndiGo,CCU-BOM,2024-04-20,7,Air Traffic,346292,April,700
FL100111,Vistara,DEL-BLR,2024-04-21,84,Technical,289241,April,8400
FL100112,Akasa Air,BOM-BLR,2024-04-22,128,Security,269526,April,12800
FL100113,Vistara,DEL-BOM,2024-04-23,7,Crew,424374,April,700
FL100114,IndiGo,CCU-BOM,2024-04-24,156,Crew,397220,April,15600
FL100115,Akasa Air,DEL-BLR,2024-04-25,95,Technical,496675,April,9500
FL100116,Air India,BLR-PNQ,2024-04-26,101,Air Traffic,350546,April,10100
FL100117,Vistara,BOM-BLR,2024-04-27,4,Crew,238799,April,400
FL100118,IndiGo,BOM-BLR,2024-04-28,85,Technical,88578,April,8500
FL100119,Air India,CCU-BOM,2024-04-29,174,Weather,140453,April,17400
FL100120,Air India,HYD-BOM,2024-04-30,33,Air Traffic,465534,April,3300
FL100121,SpiceJet,DEL-BOM,2024-05-01,54,Security,387859,May,5400
FL100122,Akasa Air,BOM-BLR,2024-05-02,118,Crew,258859,May,11800
FL100123,Vistara,CCU-BOM,2024-05-03,170,Technical,161435,May,17000
FL100124,IndiGo,CCU-BOM,2024-05-04,157,Weather,266101,May,15700
FL100125,SpiceJet,DEL-BLR,2024-05-05,113,Security,201538,May,11300
FL100126,Akasa Air,BLR-PNQ,2024-05-06,144,Technical,407886,May,14400
FL100127,SpiceJet,HYD-BOM,2024-05-07,25,Technical,95475,May,2500
FL100128,Akasa Air,DEL-BOM,2024-05-08,135,Security,372286,May,13500
FL100129,Akasa Air,MAA-DEL,2024-05-09,46,Weather,266232,May,4600
FL100130,Vistara,BLR-PNQ,2024-05-10,112,Weather,207636,May,11200
FL100131,Akasa Air,BLR-PNQ,2024-05-11,75,Air Traffic,203484,May,7500
FL100132,SpiceJet,DEL-BLR,2024-05-12,71,Crew,143526,May,7100
FL100133,Akasa Air,BOM-BLR,2024-05-13,88,Security,101001,May,8800
FL100134,Vistara,BOM-BLR,2024-05-14,45,Security,369793,May,4500
FL100135,Vistara,DEL-BLR,2024-05-15,32,Security,242029,May,3200
FL100136,SpiceJet,CCU-BOM,2024-05-16,0,Weather,478733,May,0
FL100137,Air India,BOM-BLR,2024-05-17,146,Crew,194228,May,14600
FL100138,Air India,HYD-BOM,2024-05-18,30,Air Traffic,466280,May,3000
FL100139,Akasa Air,DEL-BOM,2024-05-19,141,Technical,75711,May,14100
FL100140,IndiGo,BLR-PNQ,2024-05-20,52,Technical,80106,May,5200
FL100141,Akasa Air,BLR-PNQ,2024-05-21,47,Security,377602,May,4700
FL100142,SpiceJet,HYD-BOM,2024-05-22,68,Crew,459805,May,6800
FL100143,SpiceJet,BOM-BLR,2024-05-23,104,Weather,442573,May,10400
FL100144,SpiceJet,BLR-PNQ,2024-05-24,89,Crew,267583,May,8900
FL100145,SpiceJet,MAA-DEL,2024-05-25,62,Crew,413898,May,6200
FL100146,SpiceJet,DEL-BOM,2024-05-26,72,Weather,188286,May,7200
FL100147,Vistara,DEL-BOM,2024-05-27,160,Security,277189,May,16000
FL100148,Air India,BLR-PNQ,2024-05-28,168,Crew,176479,May,16800
FL100149,SpiceJet,DEL-BLR,2024-05-29,88,Technical,470343,May,8800
FL100150,IndiGo,BLR-PNQ,2024-05-30,175,Weather,186213,May,17500
FL100151,IndiGo,DEL-BLR,2024-05-31,12,Air Traffic,78884,May,1200
FL100152,IndiGo,BLR-PNQ,2024-06-01,72,Security,314852,June,7200
FL100153,IndiGo,MAA-DEL,2024-06-02,76,Weather,330519,June,7600
FL100154,Vistara,CCU-BOM,2024-06-03,158,Air Traffic,65088,June,15800
FL100155,IndiGo,DEL-BOM,2024-06-04,67,Air Traffic,369759,June,6700
FL100156,SpiceJet,BLR-PNQ,2024-06-05,97,Crew,422282,June,9700
FL100157,Akasa Air,MAA-DEL,2024-06-06,124,Crew,226118,June,12400
FL100158,IndiGo,DEL-BLR,2024-06-07,101,Crew,322158,June,10100
FL100159,Vistara,DEL-BLR,2024-06-08,131,Weather,245497,June,13100
FL100160,Vistara,DEL-BOM,2024-06-09,101,Weather,446489,June,10100
FL100161,IndiGo,HYD-BOM,2024-06-10,18,Security,228207,June,1800
FL100162,Akasa Air,BLR-PNQ,2024-06-11,81,Crew,414986,June,8100
FL100163,IndiGo,BOM-BLR,2024-06-12,140,Air Traffic,474097,June,14000
FL100164,Vistara,DEL-BLR,2024-06-13,22,Technical,128077,June,2200
FL100165,Air India,CCU-BOM,2024-06-14,82,Security,189784,June,8200
FL100166,SpiceJet,CCU-BOM,2024-06-15,108,Weather,255776,June,10800
FL100167,Vistara,DEL-BLR,2024-06-16,74,Security,365018,June,7400
FL100168,IndiGo,HYD-BOM,2024-06-17,128,Security,119087,June,12800
FL100169,SpiceJet,HYD-BOM,2024-06-18,87,Security,324441,June,8700
FL100170,IndiGo,MAA-DEL,2024-06-19,53,Security,290341,June,5300
FL100171,IndiGo,CCU-BOM,2024-06-20,88,Technical,339272,June,8800
FL100172,Air India,MAA-DEL,2024-06-21,142,Crew,118368,June,14200
FL100173,SpiceJet,CCU-BOM,2024-06-22,64,Air Traffic,269571,June,6400
FL100174,SpiceJet,BLR-PNQ,2024-06-23,75,Security,391102,June,7500
FL100175,Air India,BLR-PNQ,2024-06-24,142,Security,345064,June,14200
FL100176,Vistara,BOM-BLR,2024-06-25,148,Security,301514,June,14800
FL100177,IndiGo,BLR-PNQ,2024-06-26,146,Crew,454372,June,14600
FL100178,Akasa Air,BOM-BLR,2024-06-27,59,Weather,192180,June,5900
FL100179,IndiGo,BLR-PNQ,2024-06-28,92,Weather,475061,June,9200
FL100180,IndiGo,DEL-BOM,2024-06-29,160,Technical,446016,June,16000
FL100181,Vistara,BLR-PNQ,2024-06-30,48,Weather,309904,June,4800
FL100182,IndiGo,MAA-DEL,2024-07-01,34,Security,485928,July,3400
FL100183,Air India,DEL-BLR,2024-07-02,171,Security,445826,July,17100
FL100184,Air India,MAA-DEL,2024-07-03,101,Security,127603,July,10100
FL100185,SpiceJet,DEL-BLR,2024-07-04,10,Technical,83872,July,1000
FL100186,Akasa Air,HYD-BOM,2024-07-05,98,Security,322872,July,9800
FL100187,IndiGo,MAA-DEL,2024-07-06,109,Weather,407246,July,10900
FL100188,IndiGo,HYD-BOM,2024-07-07,73,Crew,434193,July,7300
FL100189,Vistara,BOM-BLR,2024-07-08,173,Crew,332727,July,17300
FL100190,Air India,BOM-BLR,2024-07-09,8,Air Traffic,135774,July,800
FL100191,Akasa Air,DEL-BOM,2024-07-10,2,Weather,450479,July,200
FL100192,SpiceJet,BLR-PNQ,2024-07-11,84,Security,438518,July,8400
FL100193,Air India,MAA-DEL,2024-07-12,25,Crew,248522,July,2500
FL100194,SpiceJet,HYD-BOM,2024-07-13,71,Weather,270357,July,7100
FL100195,Vistara,DEL-BLR,2024-07-14,47,Crew,462672,July,4700
FL100196,Vistara,BOM-BLR,2024-07-15,155,Security,403262,July,15500
FL100197,IndiGo,BLR-PNQ,2024-07-16,116,Crew,115942,July,11600
FL100198,Akasa Air,BOM-BLR,2024-07-17,153,Air Traffic,63689,July,15300
FL100199,SpiceJet,DEL-BLR,2024-07-18,152,Air Traffic,476150,July,15200
FL100200,Air India,BLR-PNQ,2024-07-19,11,Crew,83276,July,1100
FL100201,Vistara,BLR-PNQ,2024-07-20,132,Weather,151968,July,13200
FL100202,IndiGo,HYD-BOM,2024-07-21,47,Weather,463089,July,4700
FL100203,IndiGo,HYD-BOM,2024-07-22,36,Weather,325194,July,3600
FL100204,SpiceJet,MAA-DEL,2024-07-23,43,Crew,116216,July,4300
FL100205,Vistara,MAA-DEL,2024-07-24,14,Weather,265516,July,1400
FL100206,Akasa Air,CCU-BOM,2024-07-25,42,Security,396184,July,4200
FL100207,Vistara,CCU-BOM,2024-07-26,175,Air Traffic,71644,July,17500
FL100208,SpiceJet,DEL-BOM,2024-07-27,86,Security,112021,July,8600
FL100209,SpiceJet,BOM-BLR,2024-07-28,69,Weather,218197,July,6900
FL100210,Vistara,MAA-DEL,2024-07-29,45,Security,92291,July,4500
FL100211,SpiceJet,HYD-BOM,2024-07-30,107,Weather,478276,July,10700
FL100212,Vistara,DEL-BLR,2024-07-31,122,Crew,444754,July,12200
FL100213,Air India,HYD-BOM,2024-08-01,170,Security,479392,August,17000
FL100214,Vistara,BOM-BLR,2024-08-02,20,Crew,353664,August,2000
FL100215,Vistara,CCU-BOM,2024-08-03,150,Crew,75675,August,15000
FL100216,SpiceJet,HYD-BOM,2024-08-04,106,Technical,199359,August,10600
FL100217,SpiceJet,DEL-BOM,2024-08-05,79,Weather,312318,August,7900
FL100218,IndiGo,BOM-BLR,2024-08-06,46,Air Traffic,142268,August,4600
FL100219,IndiGo,CCU-BOM,2024-08-07,116,Weather,347142,August,11600
FL100220,Air India,DEL-BLR,2024-08-08,123,Air Traffic,234384,August,12300
FL100221,IndiGo,CCU-BOM,2024-08-09,142,Weather,455328,August,14200
FL100222,Vistara,BLR-PNQ,2024-08-10,24,Crew,155410,August,2400
FL100223,SpiceJet,DEL-BOM,2024-08-11,35,Security,387369,August,3500
FL100224,IndiGo,BOM-BLR,2024-08-12,50,Security,356958,August,5000
FL100225,IndiGo,DEL-BLR,2024-08-13,14,Technical,397235,August,1400
FL100226,Air India,DEL-BOM,2024-08-14,67,Air Traffic,362863,August,6700
FL100227,Air India,CCU-BOM,2024-08-15,20,Air Traffic,179887,August,2000
FL100228,Vistara,DEL-BOM,2024-08-16,140,Air Traffic,346063,August,14000
FL100229,SpiceJet,BOM-BLR,2024-08-17,18,Crew,385299,August,1800
FL100230,Air India,MAA-DEL,2024-08-18,33,Air Traffic,383713,August,3300
FL100231,IndiGo,DEL-BOM,2024-08-19,77,Security,353472,August,7700
FL100232,SpiceJet,BLR-PNQ,2024-08-20,124,Crew,251554,August,12400
FL100233,SpiceJet,DEL-BOM,2024-08-21,116,Weather,336762,August,11600
FL100234,IndiGo,CCU-BOM,2024-08-22,51,Air Traffic,84675,August,5100
FL100235,Air India,CCU-BOM,2024-08-23,26,Air Traffic,331063,August,2600
FL100236,IndiGo,DEL-BLR,2024-08-24,156,Weather,316317,August,15600
FL100237,SpiceJet,CCU-BOM,2024-08-25,155,Air Traffic,421513,August,15500
FL100238,Akasa Air,HYD-BOM,2024-08-26,34,Weather,338544,August,3400
FL100239,Akasa Air,BOM-BLR,2024-08-27,135,Crew,231517,August,13500
FL100240,Vistara,BOM-BLR,2024-08-28,143,Security,120305,August,14300
FL100241,IndiGo,MAA-DEL,2024-08-29,105,Weather,218636,August,10500
FL100242,IndiGo,MAA-DEL,2024-08-30,163,Technical,489030,August,16300
FL100243,Vistara,BOM-BLR,2024-08-31,157,Weather,138791,August,15700
FL100244,Vistara,BLR-PNQ,2024-09-01,145,Air Traffic,209034,September,14500
FL100245,Vistara,MAA-DEL,2024-09-02,1,Crew,120533,September,100
FL100246,SpiceJet,DEL-BLR,2024-09-03,176,Crew,237256,September,17600
FL100247,IndiGo,CCU-BOM,2024-09-04,76,Weather,415735,September,7600
FL100248,SpiceJet,BOM-BLR,2024-09-05,131,Security,191650,September,13100
FL100249,Vistara,MAA-DEL,2024-09-06,89,Technical,181060,September,8900
FL100250,IndiGo,BOM-BLR,2024-09-07,88,Crew,199696,September,8800
FL100251,SpiceJet,HYD-BOM,2024-09-08,93,Air Traffic,351338,September,9300
FL100252,SpiceJet,DEL-BOM,2024-09-09,6,Air Traffic,422047,September,600
FL100253,Vistara,CCU-BOM,2024-09-10,94,Security,443605,September,9400
FL100254,IndiGo,BOM-BLR,2024-09-11,107,Crew,411447,September,10700
FL100255,Vistara,DEL-BOM,2024-09-12,73,Weather,292188,September,7300
FL100256,IndiGo,MAA-DEL,2024-09-13,38,Air Traffic,426047,September,3800
FL100257,Akasa Air,DEL-BOM,2024-09-14,140,Security,379535,September,14000
FL100258,Air India,CCU-BOM,2024-09-15,158,Crew,287501,September,15800
FL100259,Air India,BOM-BLR,2024-09-16,70,Crew,457010,September,7000
FL100260,Air India,HYD-BOM,2024-09-17,55,Crew,370146,September,5500
FL100261,Vistara,BLR-PNQ,2024-09-18,169,Crew,347675,September,16900
FL100262,Akasa Air,MAA-DEL,2024-09-19,41,Crew,233887,September,4100
FL100263,IndiGo,BOM-BLR,2024-09-20,35,Air Traffic,54986,September,3500
FL100264,SpiceJet,CCU-BOM,2024-09-21,83,Security,344442,September,8300
FL100265,IndiGo,MAA-DEL,2024-09-22,117,Crew,313625,September,11700
FL100266,SpiceJet,DEL-BLR,2024-09-23,6,Technical,368552,September,600
FL100267,IndiGo,DEL-BOM,2024-09-24,53,Technical,250339,September,5300
FL100268,Akasa Air,BLR-PNQ,2024-09-25,128,Security,171950,September,12800
FL100269,SpiceJet,CCU-BOM,2024-09-26,171,Weather,460051,September,17100
FL100270,Vistara,DEL-BLR,2024-09-27,119,Weather,175355,September,11900
FL100271,IndiGo,BOM-BLR,2024-09-28,172,Weather,77798,September,17200
FL100272,IndiGo,HYD-BOM,2024-09-29,105,Technical,141649,September,10500
FL100273,SpiceJet,MAA-DEL,2024-09-30,46,Weather,377031,September,4600
FL100274,Vistara,DEL-BOM,2024-10-01,122,Air Traffic,69477,October,12200
FL100275,Vistara,MAA-DEL,2024-10-02,140,Crew,460482,October,14000
FL100276,Akasa Air,BLR-PNQ,2024-10-03,118,Technical,267400,October,11800
FL100277,Vistara,BOM-BLR,2024-10-04,149,Security,267060,October,14900
FL100278,Vistara,MAA-DEL,2024-10-05,117,Security,439959,October,11700
FL100279,Vistara,DEL-BOM,2024-10-06,20,Crew,486742,October,2000
FL100280,Air India,BOM-BLR,2024-10-07,136,Technical,439570,October,13600
FL100281,Akasa Air,MAA-DEL,2024-10-08,25,Weather,455105,October,2500
FL100282,IndiGo,HYD-BOM,2024-10-09,8,Weather,336479,October,800
FL100283,SpiceJet,CCU-BOM,2024-10-10,14,Air Traffic,454470,October,1400
FL100284,IndiGo,BOM-BLR,2024-10-11,9,Air Traffic,398754,October,900
FL100285,Akasa Air,CCU-BOM,2024-10-12,121,Weather,323586,October,12100
FL100286,SpiceJet,BOM-BLR,2024-10-13,120,Security,358433,October,12000
FL100287,Akasa Air,HYD-BOM,2024-10-14,124,Security,365891,October,12400
FL100288,Vistara,CCU-BOM,2024-10-15,169,Air Traffic,349471,October,16900
FL100289,SpiceJet,DEL-BLR,2024-10-16,71,Crew,459415,October,7100
FL100290,Vistara,DEL-BOM,2024-10-17,151,Weather,384971,October,15100
FL100291,IndiGo,DEL-BLR,2024-10-18,48,Air Traffic,156464,October,4800
FL100292,IndiGo,MAA-DEL,2024-10-19,153,Air Traffic,181184,October,15300
FL100293,SpiceJet,HYD-BOM,2024-10-20,90,Weather,137051,October,9000
FL100294,SpiceJet,DEL-BLR,2024-10-21,36,Weather,200653,October,3600
FL100295,Akasa Air,BOM-BLR,2024-10-22,67,Security,295300,October,6700
FL100296,Akasa Air,MAA-DEL,2024-10-23,49,Crew,109722,October,4900
FL100297,Vistara,MAA-DEL,2024-10-24,151,Crew,142036,October,15100
FL100298,SpiceJet,DEL-BLR,2024-10-25,18,Weather,278634,October,1800
FL100299,IndiGo,DEL-BLR,2024-10-26,99,Technical,197595,October,9900
FL100300,Akasa Air,HYD-BOM,2024-10-27,59,Air Traffic,379104,October,5900
FL100301,Akasa Air,DEL-BOM,2024-10-28,166,Air Traffic,298709,October,16600
FL100302,IndiGo,DEL-BLR,2024-10-29,88,Weather,331696,October,8800
FL100303,Akasa Air,BLR-PNQ,2024-10-30,145,Technical,191880,October,14500
FL100304,Vistara,DEL-BLR,2024-10-31,146,Security,285419,October,14600
FL100305,SpiceJet,CCU-BOM,2024-11-01,163,Weather,204692,November,16300
FL100306,IndiGo,BOM-BLR,2024-11-02,68,Weather,313031,November,6800
FL100307,SpiceJet,BLR-PNQ,2024-11-03,174,Air Traffic,343946,November,17400
FL100308,Akasa Air,BLR-PNQ,2024-11-04,48,Weather,135024,November,4800
FL100309,Akasa Air,CCU-BOM,2024-11-05,107,Weather,295809,November,10700
FL100310,IndiGo,CCU-BOM,2024-11-06,160,Weather,168639,November,16000
FL100311,Vistara,MAA-DEL,2024-11-07,118,Air Traffic,430392,November,11800
FL100312,Air India,DEL-BOM,2024-11-08,148,Security,131938,November,14800
FL100313,IndiGo,BOM-BLR,2024-11-09,149,Security,267813,November,14900
FL100314,Air India,HYD-BOM,2024-11-10,175,Weather,302100,November,17500
FL100315,Air India,BLR-PNQ,2024-11-11,36,Air Traffic,434890,November,3600
FL100316,Vistara,HYD-BOM,2024-11-12,142,Security,338193,November,14200
FL100317,Air India,DEL-BLR,2024-11-13,162,Security,389933,November,16200
FL100318,Air India,DEL-BLR,2024-11-14,159,Security,134526,November,15900
FL100319,Vistara,HYD-BOM,2024-11-15,10,Air Traffic,451062,November,1000
FL100320,Air India,DEL-BLR,2024-11-16,137,Air Traffic,96220,November,13700
FL100321,Air India,DEL-BOM,2024-11-17,77,Weather,358307,November,7700
FL100322,Air India,CCU-BOM,2024-11-18,76,Crew,446981,November,7600
FL100323,IndiGo,DEL-BLR,2024-11-19,152,Security,429270,November,15200
FL100324,IndiGo,MAA-DEL,2024-11-20,1,Crew,393630,November,100
FL100325,IndiGo,DEL-BLR,2024-11-21,63,Air Traffic,488486,November,6300
FL100326,Vistara,BOM-BLR,2024-11-22,34,Air Traffic,125277,November,3400
FL100327,Akasa Air,DEL-BOM,2024-11-23,6,Air Traffic,416389,November,600
FL100328,Air India,BOM-BLR,2024-11-24,84,Crew,172332,November,8400
FL100329,Air India,BOM-BLR,2024-11-25,145,Air Traffic,284231,November,14500
FL100330,Vistara,MAA-DEL,2024-11-26,66,Weather,72931,November,6600
FL100331,Air India,DEL-BOM,2024-11-27,41,Air Traffic,139116,November,4100
FL100332,IndiGo,DEL-BOM,2024-11-28,117,Technical,301671,November,11700
FL100333,Akasa Air,DEL-BOM,2024-11-29,124,Crew,367777,November,12400
FL100334,SpiceJet,DEL-BOM,2024-11-30,166,Technical,101913,November,16600
FL100335,Air India,DEL-BOM,2024-12-01,168,Air Traffic,300216,December,16800
FL100336,IndiGo,MAA-DEL,2024-12-02,23,Weather,144776,December,2300
FL100337,SpiceJet,DEL-BLR,2024-12-03,45,Security,75991,December,4500
FL100338,Akasa Air,BOM-BLR,2024-12-04,18,Air Traffic,235917,December,1800
FL100339,SpiceJet,DEL-BOM,2024-12-05,67,Weather,154092,December,6700
FL100340,IndiGo,BLR-PNQ,2024-12-06,101,Crew,279577,December,10100
FL100341,SpiceJet,DEL-BLR,2024-12-07,41,Technical,236384,December,4100
FL100342,Vistara,DEL-BLR,2024-12-08,31,Technical,453777,December,3100
FL100343,SpiceJet,BOM-BLR,2024-12-09,166,Technical,460117,December,16600
FL100344,Air India,MAA-DEL,2024-12-10,108,Crew,287113,December,10800
